,equity
2026-07-16 00:00:00-04:00,95215.54897127842
2026-07-17 00:00:00-04:00,101713.22680571844
2026-07-20 00:00:00-04:00,97251.81873283187
2026-07-21 00:00:00-04:00,96901.98375762379
2026-07-22 00:00:00-04:00,93225.57269541734
2026-07-23 00:00:00-04:00,89196.81014416675
2026-07-24 00:00:00-04:00,81209.77758153797
2026-07-27 00:00:00-04:00,81040.52633807293
2026-07-28 00:00:00-04:00,75923.71286401314
2026-07-29 00:00:00-04:00,75664.13985339814
2026-07-30 00:00:00-04:00,66137.02426931339
2026-07-31 00:00:00-04:00,67896.69024040089
2026-08-03 00:00:00-04:00,68782.01927511093
2026-08-04 00:00:00-04:00,67041.81507051467
2026-08-05 00:00:00-04:00,66819.0722772103
2026-08-06 00:00:00-04:00,63701.908258663265
2026-08-07 00:00:00-04:00,67372.86082024663
2026-08-10 00:00:00-04:00,71750.5827593696
