symbol,entry_time,exit_time,entry,exit,ret_pct,bars_held,reason,risk_pct,taken
DHR,2026-07-16 10:05:00-04:00,2026-07-16 11:21:00-04:00,204.58,203.72,-0.48037910152027785,76,stop,0.4203791015202778,True
MCK,2026-07-16 10:25:00-04:00,2026-07-16 10:29:00-04:00,822.285,821.43,-0.1639749881182268,4,stop,0.10397498811822681,True
ABBV,2026-07-16 10:48:00-04:00,2026-07-16 10:54:00-04:00,251.99,252.8,0.26145294623478516,6,target,0.10715098207826171,True
ORLY,2026-07-16 10:50:00-04:00,2026-07-16 10:55:00-04:00,85.3925,85.685,0.28253379394053735,5,target,0.11417793131351245,True
SBUX,2026-07-16 10:50:00-04:00,2026-07-16 10:50:00-04:00,108.55,108.47,-0.13369650660437454,0,stop,0.07369650660437453,True
UNP,2026-07-16 10:50:00-04:00,2026-07-16 11:42:00-04:00,299.05,297.97,-0.4211427947615322,52,stop,0.36114279476153227,True
KO,2026-07-16 10:55:00-04:00,2026-07-16 10:55:00-04:00,84.265,84.2,-0.1371354311563646,0,stop,0.07713543115636459,True
MCD,2026-07-16 11:24:00-04:00,2026-07-16 11:57:00-04:00,271.92,271.48,-0.2218172336747693,33,stop,0.16181723367476933,True
ORLY,2026-07-16 11:33:00-04:00,2026-07-16 11:44:00-04:00,85.92,85.8,-0.19966550888834253,11,stop,0.13384685265539698,True
MCK,2026-07-16 12:00:00-04:00,2026-07-16 12:09:00-04:00,829.73,832.01,0.21478819057639728,9,target,0.09159606352546576,True
SPGI,2026-07-16 12:02:00-04:00,2026-07-16 12:07:00-04:00,451.25,452.42,0.19927653781327864,5,target,0.08642551260442621,True
MRK,2026-07-16 12:05:00-04:00,2026-07-16 12:14:00-04:00,128.04,127.86,-0.20057797128309862,9,stop,0.14057797128309862,True
SBUX,2026-07-16 12:18:00-04:00,2026-07-16 12:27:00-04:00,108.46,108.35,-0.16141650468893726,9,stop,0.10141650468893725,True
MCD,2026-07-16 12:32:00-04:00,2026-07-16 13:02:00-04:00,272.12,271.74,-0.19964248774178062,30,stop,0.12493636077533131,True
KO,2026-07-16 12:47:00-04:00,2026-07-16 12:50:00-04:00,84.445,84.345,-0.17841341056441337,3,stop,0.11841341056441339,True
UNP,2026-07-16 12:54:00-04:00,2026-07-16 12:55:00-04:00,298.65,298.34,-0.16379635000969944,1,stop,0.10379635000969943,True
TMUS,2026-07-16 13:06:00-04:00,2026-07-16 13:09:00-04:00,193.1575,192.83,-0.22955327721103716,3,stop,0.14366893057374974,True
ABBV,2026-07-16 13:50:00-04:00,2026-07-16 14:58:00-04:00,252.21,251.85,-0.20273674408095893,68,stop,0.14273674408095896,True
AAPL,2026-07-16 14:55:00-04:00,2026-07-16 15:06:00-04:00,333.11,334.2419,0.2797974823100036,11,target,0.11326582743666787,True
SPGI,2026-07-16 15:01:00-04:00,2026-07-16 15:02:00-04:00,456.16,456.02,-0.09068991561308436,1,stop,0.03068991561308436,True
MRK,2026-07-17 09:42:00-04:00,2026-07-17 11:50:00-04:00,130.27,129.7,-0.49754342289376674,128,stop,0.43754342289376674,True
BMY,2026-07-17 09:48:00-04:00,2026-07-17 10:03:00-04:00,62.06,61.895,-0.3258724779118819,15,stop,0.26587247791188195,True
FCX,2026-07-17 10:00:00-04:00,2026-07-17 11:55:00-04:00,58.035,58.89,1.4132654269955218,115,target,0.49108847566517394,True
BA,2026-07-17 10:08:00-04:00,2026-07-17 10:32:00-04:00,216.185,215.6,-0.33060269359488076,24,stop,0.27060269359488076,True
LITE,2026-07-17 10:10:00-04:00,2026-07-17 10:19:00-04:00,711.47,730.5089,2.615992135712102,9,target,0.8919973785707007,True
WELL,2026-07-17 10:51:00-04:00,2026-07-17 10:52:00-04:00,246.02,245.67,-0.20226560396291046,1,stop,0.14226560396291046,True
CEG,2026-07-17 11:33:00-04:00,2026-07-17 11:35:00-04:00,253.08,252.53,-0.2773281263506922,2,stop,0.21732812635069226,True
ASTS,2026-07-17 11:33:00-04:00,2026-07-17 11:53:00-04:00,58.47,59.37,1.4792446587699997,20,target,0.5130815529233332,True
AMD,2026-07-17 11:36:00-04:00,2026-07-17 11:54:00-04:00,489.74,495.6199,1.1406258801829479,18,target,0.4002086267276493,True
MRVL,2026-07-17 11:40:00-04:00,2026-07-17 11:42:00-04:00,186.7992,185.6874,-0.6551799662671434,2,stop,0.5951799662671434,True
SNDK,2026-07-17 11:43:00-04:00,2026-07-17 11:53:00-04:00,1439.765,1461.2835,1.434583909233258,10,target,0.49819463641108597,True
ETN,2026-07-17 11:43:00-04:00,2026-07-17 11:55:00-04:00,399.9899,402.4046,0.5436837630710973,12,target,0.2012279210236991,True
STX,2026-07-17 11:51:00-04:00,2026-07-17 11:51:00-04:00,760.47,757.75,-0.41767513885366986,0,stop,0.35767513885366986,True
ON,2026-07-17 11:58:00-04:00,2026-07-17 12:03:00-04:00,88.66,88.43,-0.3194169642615359,5,stop,0.2594169642615359,True
VRT,2026-07-17 11:58:00-04:00,2026-07-17 12:01:00-04:00,294.57,293.8,-0.3213979720887287,3,stop,0.2613979720887287,True
COHR,2026-07-17 11:58:00-04:00,2026-07-17 12:23:00-04:00,281.78,280.43,-0.5390924213571837,25,stop,0.4790924213571837,True
PWR,2026-07-17 11:58:00-04:00,2026-07-17 12:05:00-04:00,635.87,634.43,-0.2864587012013294,7,stop,0.22645870120132938,True
WDC,2026-07-17 11:58:00-04:00,2026-07-17 12:01:00-04:00,473.4781,478.3024,0.9589093542247024,3,target,0.3396364514082341,True
AMD,2026-07-17 11:58:00-04:00,2026-07-17 12:03:00-04:00,500.4799,498.0306,-0.549394527482117,5,stop,0.48939452748211704,True
APH,2026-07-17 11:58:00-04:00,2026-07-17 11:59:00-04:00,152.875,153.22,0.16567695811121175,1,target,0.07522565270373724,False
MS,2026-07-17 11:58:00-04:00,2026-07-17 12:02:00-04:00,217.745,217.53,-0.15874271446694715,4,stop,0.09874271446694717,False
FLEX,2026-07-17 11:59:00-04:00,2026-07-17 12:03:00-04:00,119.42,119.14,-0.2944637810748379,4,stop,0.2344637810748379,False
MU,2026-07-17 12:02:00-04:00,2026-07-17 12:06:00-04:00,887.15,882.18,-0.6202222989311186,4,stop,0.5602222989311186,True
AMAT,2026-07-17 12:13:00-04:00,2026-07-17 12:15:00-04:00,549.89,548.27,-0.3545999329961846,2,stop,0.2945999329961846,True
STX,2026-07-17 12:15:00-04:00,2026-07-17 12:21:00-04:00,781.18,777.76,-0.4977945484682961,6,stop,0.4377945484682962,True
FCX,2026-07-17 12:47:00-04:00,2026-07-17 13:17:00-04:00,58.96,59.2,0.3470626132418482,30,target,0.1356875377472827,True
NXPI,2026-07-17 12:48:00-04:00,2026-07-17 13:05:00-04:00,269.13,270.21,0.3412998517267226,16,target,0.13376661724224084,True
COIN,2026-07-17 12:49:00-04:00,2026-07-17 13:26:00-04:00,158.19,160.2,1.2106124170399541,37,target,0.4235374723466514,True
FLEX,2026-07-17 12:50:00-04:00,2026-07-17 13:01:00-04:00,119.31,119.88,0.41776161297413006,11,target,0.1592538709913767,True
NVDA,2026-07-17 12:54:00-04:00,2026-07-17 12:56:00-04:00,206.025,205.8,-0.16921093640152404,2,stop,0.10921093640152407,True
MRVL,2026-07-17 13:03:00-04:00,2026-07-17 13:38:00-04:00,192.86,192.21,-0.39703456509464097,35,stop,0.3370345650946409,True
INTC,2026-07-17 13:03:00-04:00,2026-07-17 13:16:00-04:00,96.6873,97.7292,1.0176007620082175,13,target,0.35920025400273914,True
LITE,2026-07-17 13:04:00-04:00,2026-07-17 13:06:00-04:00,736.38,740.5496,0.5062319954742106,2,target,0.18874399849140353,True
COHR,2026-07-17 13:04:00-04:00,2026-07-17 13:04:00-04:00,283.22,282.86,-0.18710837820490023,0,stop,0.12710837820490023,False
ON,2026-07-17 13:10:00-04:00,2026-07-17 13:11:00-04:00,89.9,89.74,-0.23797485065041157,1,stop,0.17797485065041158,True
MCHP,2026-07-17 13:10:00-04:00,2026-07-17 13:12:00-04:00,81.925,81.82,-0.1881648865416929,2,stop,0.1281648865416929,True
WDC,2026-07-17 13:11:00-04:00,2026-07-17 13:11:00-04:00,486.1,484.84,-0.3192039176851086,0,stop,0.2592039176851086,True
FIX,2026-07-17 13:16:00-04:00,2026-07-17 13:46:00-04:00,1678.6575,1669.03,-0.6335191424713437,30,stop,0.5735191424713437,True
CIEN,2026-07-17 13:19:00-04:00,2026-07-17 13:41:00-04:00,385.01,383.27,-0.5119391668601116,22,stop,0.44414494205507177,True
GEV,2026-07-17 13:35:00-04:00,2026-07-17 13:35:00-04:00,1068.5,1067.41,-0.1620080537845101,0,stop,0.10200805378451014,True
MCHP,2026-07-17 14:33:00-04:00,2026-07-17 14:34:00-04:00,80.955,80.76,-0.3008783305452721,1,stop,0.24087833054527213,True
NXPI,2026-07-17 14:57:00-04:00,2026-07-17 15:01:00-04:00,267.87,267.55,-0.17946002765997252,3,stop,0.07652875268003073,True
MPWR,2026-07-17 15:30:00-04:00,2026-07-17 15:39:00-04:00,1314.13,1309.6701,-0.39938357870389124,9,stop,0.33938357870389124,True
LITE,2026-07-20 10:30:00-04:00,2026-07-20 10:32:00-04:00,800.7245,795.5001,-0.7124599765374806,2,stop,0.6524599765374807,True
SCHW,2026-07-20 11:31:00-04:00,2026-07-20 11:46:00-04:00,101.785,102.1,0.24947315291625866,15,target,0.10315771763875288,True
CME,2026-07-20 11:46:00-04:00,2026-07-20 12:34:00-04:00,246.1,245.79,-0.18596232862481613,48,stop,0.12596232862481616,True
SHOP,2026-07-20 11:57:00-04:00,2026-07-20 11:59:00-04:00,127.79,127.55,-0.24780907973685462,2,stop,0.18780907973685462,True
SCHW,2026-07-20 12:32:00-04:00,2026-07-20 12:33:00-04:00,102.06,101.97,-0.14818311986389746,1,stop,0.08818311986389744,True
CME,2026-07-20 13:13:00-04:00,2026-07-20 13:16:00-04:00,246.375,246.145,-0.15335635057897587,3,stop,0.09335635057897587,True
RDDT,2026-07-20 13:57:00-04:00,2026-07-20 14:21:00-04:00,184.95,184.5,-0.3033132893376742,24,stop,0.24331328933767424,True
SHOP,2026-07-20 14:05:00-04:00,2026-07-20 14:06:00-04:00,126.935,126.86,-0.1190855976465452,1,stop,0.05908559764654519,True
