,equity
2026-05-20 00:00:00-04:00,102940.0
2026-05-22 00:00:00-04:00,104243.23146724098
2026-05-26 00:00:00-04:00,102617.03705635203
2026-05-27 00:00:00-04:00,100073.54524568054
2026-05-28 00:00:00-04:00,99646.71857146779
2026-05-29 00:00:00-04:00,102047.43851050321
2026-06-01 00:00:00-04:00,110383.74465746147
2026-06-02 00:00:00-04:00,108655.29774917167
2026-06-03 00:00:00-04:00,107144.47779071533
2026-06-10 00:00:00-04:00,105473.02393718017
2026-06-15 00:00:00-04:00,107601.40296319537
2026-06-17 00:00:00-04:00,105852.46482901942
2026-06-23 00:00:00-04:00,104201.16637768672
2026-06-24 00:00:00-04:00,106944.5873782264
2026-06-26 00:00:00-04:00,105283.53939778285
2026-06-29 00:00:00-04:00,103635.27953931646
2026-07-01 00:00:00-04:00,104978.57291909782
2026-07-02 00:00:00-04:00,101694.1299902747
2026-07-06 00:00:00-04:00,96952.24854781573
2026-07-09 00:00:00-04:00,99802.64465512152
2026-07-14 00:00:00-04:00,102750.89706013868
2026-07-15 00:00:00-04:00,101968.9250179628
2026-07-21 00:00:00-04:00,98760.04434221711
2026-07-22 00:00:00-04:00,104646.85328332486
2026-07-23 00:00:00-04:00,102969.98471785556
2026-07-27 00:00:00-04:00,99698.30139654757
2026-07-28 00:00:00-04:00,102131.95322130475
2026-07-29 00:00:00-04:00,103248.71997214928
2026-07-30 00:00:00-04:00,104523.2007102761
2026-08-03 00:00:00-04:00,101938.05832354547
2026-08-04 00:00:00-04:00,104689.62826425872
2026-08-07 00:00:00-04:00,107700.22851728846
2026-08-10 00:00:00-04:00,106244.20722843887
