symbol,entry_time,exit_time,entry,exit,ret_pct,bars_held,reason,taken
TSLA,2026-05-21 13:45:00-04:00,2026-05-21 14:45:00-04:00,422.088,419.365,-0.7051268244506552,4,stop,True
SMCI,2026-05-22 11:00:00-04:00,2026-05-22 11:30:00-04:00,35.26,35.0085,-0.773269195296979,2,stop,True
TSLA,2026-05-22 11:30:00-04:00,2026-05-22 11:30:00-04:00,428.75,427.31,-0.39585607998942907,0,stop,True
AAPL,2026-05-27 11:00:00-04:00,2026-05-27 11:30:00-04:00,313.09,311.18,-0.6700431865515779,2,stop,True
HOOD,2026-05-27 11:30:00-04:00,2026-05-27 11:45:00-04:00,75.49,75.15,-0.5103903559477067,1,stop,True
AMD,2026-05-28 11:00:00-04:00,2026-05-28 11:30:00-04:00,511.81,525.5499,2.624580508310222,2,target,True
AMZN,2026-05-28 15:15:00-04:00,2026-05-28 15:45:00-04:00,274.03,273.96,-0.08554375849361823,2,eod,True
COIN,2026-05-29 12:00:00-04:00,2026-05-29 14:45:00-04:00,190.55,188.035,-1.379861036893833,11,stop,True
MARA,2026-05-29 14:00:00-04:00,2026-05-29 15:45:00-04:00,14.445,14.395,-0.40614025891702876,7,eod,True
MU,2026-06-11 14:00:00-04:00,2026-06-11 15:15:00-04:00,946.98,973.3499,2.7246371486725303,5,target,True
AAPL,2026-06-11 14:15:00-04:00,2026-06-11 15:00:00-04:00,296.0,295.12,-0.3572923583091009,3,stop,True
AMZN,2026-06-11 14:15:00-04:00,2026-06-11 15:30:00-04:00,239.19,241.71,0.9935476173393937,5,target,True
TSLA,2026-06-12 13:30:00-04:00,2026-06-12 15:45:00-04:00,402.23,406.445,0.9879094276219503,9,eod,True
SOFI,2026-06-16 13:30:00-04:00,2026-06-16 15:45:00-04:00,17.875,17.74,-0.8152434844575236,9,stop,True
RIVN,2026-06-26 12:30:00-04:00,2026-06-26 15:45:00-04:00,15.48,15.6998,1.3598968331899322,13,target,True
TSLA,2026-06-26 12:30:00-04:00,2026-06-26 13:00:00-04:00,383.689,386.467,0.6640176753851085,2,target,True
AMZN,2026-07-02 11:00:00-04:00,2026-07-02 11:00:00-04:00,245.41,243.88,-0.6834442544671924,0,stop,True
AAPL,2026-07-02 12:00:00-04:00,2026-07-02 12:15:00-04:00,306.13,307.85,0.5018504240732096,1,target,True
META,2026-07-06 15:00:00-04:00,2026-07-06 15:45:00-04:00,600.855,600.27,-0.1573531385103591,3,eod,True
META,2026-07-07 15:00:00-04:00,2026-07-07 15:15:00-04:00,620.51,616.99,-0.6272753057968415,1,stop,True
NVDA,2026-07-08 12:45:00-04:00,2026-07-08 13:15:00-04:00,199.89,202.81,1.4008058489589539,2,target,True
MARA,2026-07-09 11:45:00-04:00,2026-07-09 12:15:00-04:00,13.92,13.7112,-1.5600000000000032,2,stop,True
META,2026-07-15 11:00:00-04:00,2026-07-15 11:15:00-04:00,673.2999,681.6998,1.1875663622200372,1,target,True
META,2026-07-15 11:45:00-04:00,2026-07-15 15:45:00-04:00,679.17,681.275,0.24994469024962213,16,eod,True
AAPL,2026-07-15 12:00:00-04:00,2026-07-15 15:45:00-04:00,327.03,327.57,0.1051280704181255,15,eod,True
SOFI,2026-07-21 12:00:00-04:00,2026-07-21 12:00:00-04:00,17.45,17.36,-0.575757547677819,0,stop,True
TSLA,2026-08-03 12:00:00-04:00,2026-08-03 12:15:00-04:00,323.72,321.99,-0.5944098297117908,1,stop,True
RIVN,2026-08-07 12:00:00-04:00,2026-08-07 15:45:00-04:00,16.0,16.0,-0.05999856948850359,15,eod,True
