timeframe,require_above_vwap,momentum_mode,momentum_lookback,momentum_min_gain_atr,hod_dist_atr,hod_day_gain_atr,relvol_min,pullback_def,min_pullback_bars,max_pullback_bars,pullback_hold_ema,max_retrace_atr,market_filter,in_play_filter,in_play_gain_adr,in_play_relvol,rsi_filter,rsi_min,rsi_max,macd_filter,macd_rising,stop_mode,stop_atr_mult,stop_pct,stop_cap_pct,target_mode,target_rr,target_pct,trail_mode,trail_atr_mult,trail_pct,trail_activate_rr,entry_start_min,entry_end_min,eod_exit_min,intrabar,sizing_mode,risk_per_trade_pct,pos_leverage_cap,max_concurrent,train_ret,train_pf,train_n,val_ret,val_pf,val_n,robust,combo_score
5m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,4.0084465743090325,1.1079247994936097,108,0.546494559126165,1.017453207327141,29,False,1.09298911825233
5m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,6.255971601445465,1.150034254913377,106,0.546494559126165,1.017453207327141,29,False,1.09298911825233
5m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,3.440109101818445,1.1326887658977203,112,-0.8188249951383009,0.9907013332414454,29,False,-1.6376499902766017
5m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,4.576329218920461,1.1474126097520743,111,-0.8188249951383009,0.9907013332414454,29,False,-1.6376499902766017
5m,True,either,4,1.0,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,7.210422588428966,1.286422046817,62,-1.2252157164039934,1.0963498959228268,18,False,-2.450431432807987
5m,True,either,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,7.210422588428966,1.286422046817,62,-1.2252157164039934,1.0963498959228268,18,False,-2.450431432807987
5m,True,either,4,1.0,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,10.737566150404799,1.3221348180395007,61,-1.3490291563801549,0.9961739396299145,18,False,-2.6980583127603097
5m,True,either,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,10.737566150404799,1.3221348180395007,61,-1.3490291563801549,0.9961739396299145,18,False,-2.6980583127603097
5m,True,either,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,14.46683180595083,1.3967965426902627,69,-1.8298403941978347,0.925522656991997,23,False,-3.6596807883956695
5m,True,either,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,14.774771571173018,1.3898017517748036,66,-2.1147286969694368,0.9292171723716135,21,False,-4.2294573939388735
5m,True,either,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,10.0257072851623,1.3339071953708888,67,-2.2818372579884616,0.9890826209205135,21,False,-4.563674515976923
5m,True,either,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,9.406018432949036,1.3330195968747447,70,-2.2874288719057168,0.9681685256531631,23,False,-4.5748577438114335
5m,True,either,4,1.0,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,14.46683180595083,1.3967965426902627,69,-2.9052896820218277,0.881545137334862,24,False,-5.810579364043655
5m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,16.105834960058907,1.2897161232876595,113,-2.9814933499272,0.8111364160099453,35,False,-5.9629866998544
15m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-6.312572492117708,0.7712553987308987,37,4.736754386015507,3.669349612650916,9,False,-6.312572492117708
15m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-6.312572492117708,0.7712553987308987,37,3.2678587231509626,3.138831644331249,8,False,-6.312572492117708
5m,True,either,4,1.0,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,14.774771571173018,1.3898017517748036,66,-3.187057047397046,0.8823914046972018,22,False,-6.374114094794092
5m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,20.201842591971307,1.3268229861669776,119,-3.338513678362953,0.8285509744601891,40,False,-6.677027356725906
15m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-6.696623638113641,0.719748537013659,35,4.0367596318743315,3.819567474278344,7,False,-6.696623638113641
5m,True,either,4,1.0,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,10.0257072851623,1.3339071953708888,67,-3.3523349423189686,0.9328134586734771,22,False,-6.704669884637937
5m,True,either,4,1.0,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,9.406018432949036,1.3330195968747447,70,-3.357865300379781,0.9166123896963162,24,False,-6.715730600759562
15m,True,either,4,1.0,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-7.3014301057400255,0.6053723119291234,27,1.5931388068174401,2.266188300364244,5,False,-7.3014301057400255
15m,True,either,4,1.0,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.4,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-7.3014301057400255,0.6053723119291234,27,1.5931388068174401,2.266188300364244,5,False,-7.3014301057400255
15m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,False,99.0,False,True,0.5,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.2,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4,-7.539532329087839,0.4954784681897002,35,2.5127544095366883,2.76238031447421,7,False,-7.539532329087839
