score,total_return_pct,ann_return_pct,n_trades,win_rate,profit_factor,expectancy_pct,max_dd_pct,sharpe,avg_bars_held,timeframe,require_above_vwap,momentum_mode,momentum_lookback,momentum_min_gain_atr,hod_dist_atr,hod_day_gain_atr,relvol_min,pullback_def,min_pullback_bars,max_pullback_bars,rsi_filter,rsi_min,rsi_max,macd_filter,macd_rising,stop_mode,stop_atr_mult,stop_pct,stop_cap_pct,target_mode,target_rr,target_pct,trail_mode,trail_atr_mult,trail_pct,trail_activate_rr,entry_start_min,entry_end_min,eod_exit_min,sizing_mode,risk_per_trade_pct,pos_leverage_cap,max_concurrent
-2.5864508463844804,0.7392300664635476,3.4614278847791224,56,41.07142857142857,1.0849253945828918,0.03754146182811365,-6.651361825696056,-0.40406463777486673,5.357142857142857,15m,True,surge,4,1.5,1.0,2.5,1.3,lower_high,1,2,False,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-2.5864508463844804,0.7392300664635476,3.4614278847791224,56,41.07142857142857,1.0849253945828918,0.03754146182811365,-6.651361825696056,-0.40406463777486673,5.357142857142857,15m,True,surge,4,1.5,1.0,1.5,1.3,lower_high,1,2,False,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-3.183196130692682,0.22535888127290793,1.0454708612012364,65,41.53846153846154,1.0229785612719928,0.010109559202937077,-6.81711002393118,-0.4195996569495751,5.0,15m,True,surge,4,1.5,1.0,1.5,1.3,lower_high,1,3,False,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-3.183196130692682,0.22535888127290793,1.0454708612012364,65,41.53846153846154,1.0229785612719928,0.010109559202937077,-6.81711002393118,-0.4195996569495751,5.0,15m,True,surge,4,1.5,1.0,2.5,1.3,lower_high,1,3,False,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-4.235966741054273,-0.3880134071893804,-1.7801715460528222,57,40.35087719298246,1.060744310407683,0.026982460345761957,-7.695906667729786,-0.7080156806685979,5.456140350877193,15m,True,surge,4,1.5,1.0,2.5,1.3,lower_high,1,2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-4.235966741054273,-0.3880134071893804,-1.7801715460528222,57,40.35087719298246,1.060744310407683,0.026982460345761957,-7.695906667729786,-0.7080156806685979,5.456140350877193,15m,True,surge,4,1.5,1.0,1.5,1.3,lower_high,1,2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-4.826034614519423,-0.8961345192514125,-4.073730500914796,66,40.90909090909091,1.003182271760597,0.0014060564473481738,-7.859800190536021,-0.6789095759803906,5.090909090909091,15m,True,surge,4,1.5,1.0,1.5,1.3,lower_high,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-4.826034614519423,-0.8961345192514125,-4.073730500914796,66,40.90909090909091,1.003182271760597,0.0014060564473481738,-7.859800190536021,-0.6789095759803906,5.090909090909091,15m,True,surge,4,1.5,1.0,2.5,1.3,lower_high,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-5.3864857851008665,-1.2630342346029333,-5.70358708548897,50,38.0,1.0340483976165382,0.014914080440173647,-8.246903100995866,-1.2159855381125688,5.22,15m,True,surge,4,1.5,1.0,2.5,1.3,lower_high,1,2,True,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-5.3864857851008665,-1.2630342346029333,-5.70358708548897,50,38.0,1.0340483976165382,0.014914080440173647,-8.246903100995866,-1.2159855381125688,5.22,15m,True,surge,4,1.5,1.0,1.5,1.3,lower_high,1,2,True,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
