stage,run,window,overrides,total_return,cagr,sharpe,max_drawdown,profit_multiple_vs_spy,n_trades,win_rate,avg_R,profit_factor,avg_exposure,n_triggered,elapsed_s
baseline,base,IS2004,{},0.1025,0.0164,0.185,-0.2973,0.793,495,0.2424,0.074,1.048,0.6761,495,24.1
baseline,base,IS2010,{},-0.0571,-0.0084,0.029,-0.5143,-0.045,700,0.2271,-0.014,0.983,0.8418,700,32.5
quality,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""rs"", ""tt.rs_per",IS2004,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0}",0.1025,0.0164,0.185,-0.2973,0.793,495,0.2424,0.074,1.048,0.6761,495,0.4
quality,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""rs"", ""tt.rs_per",IS2010,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0}",-0.0571,-0.0084,0.029,-0.5143,-0.045,700,0.2271,-0.014,0.983,0.8418,700,0.7
quality,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""rs"", ""tt.rs_per",IS2004,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 85.0}",-0.1311,-0.0232,-0.105,-0.2594,-1.014,393,0.201,-0.046,0.919,0.5272,393,2.1
quality,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""rs"", ""tt.rs_per",IS2010,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 85.0}",0.2375,0.031,0.278,-0.392,0.186,620,0.2177,0.0,1.076,0.7652,620,2.9
quality,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""tightness"", ""tt",IS2004,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0}",0.4171,0.0599,0.512,-0.2145,3.225,428,0.2593,0.112,1.249,0.6793,428,0.3
quality,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""tightness"", ""tt",IS2010,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 70.0}",0.3193,0.0405,0.366,-0.3022,0.25,627,0.252,0.072,1.135,0.8475,627,0.5
quality,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""tightness"", ""tt",IS2004,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 85.0}",-0.1898,-0.0345,-0.195,-0.304,-1.468,375,0.1973,-0.047,0.869,0.526,375,0.3
quality,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""tightness"", ""tt",IS2010,"{""entry.bo_vol_mult"": 0.0, ""entry.rank_by"": ""tightness"", ""tt.rs_percentile_min"": 85.0}",0.0481,0.0067,0.118,-0.345,0.038,598,0.2291,-0.01,1.019,0.7644,598,0.5
