stage,run,window,overrides,total_return,cagr,sharpe,max_drawdown,profit_multiple_vs_spy,n_trades,win_rate,avg_R,profit_factor,avg_exposure,n_triggered,elapsed_s
baseline,base,IS,{},0.1772,0.0126,0.187,-0.2878,0.11,443,0.2325,0.037,1.074,0.3658,443,37.6
exposure,"{""risk.max_positions"": 5, ""risk.risk_per_trade"": 0.01, ""risk",IS,"{""risk.max_positions"": 5, ""risk.max_weight"": 0.15, ""risk.risk_per_trade"": 0.01}",0.282,0.0193,0.295,-0.2356,0.175,407,0.2457,0.091,1.148,0.3073,407,0.2
exposure,"{""risk.max_positions"": 5, ""risk.risk_per_trade"": 0.01, ""risk",IS,"{""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.01}",0.3329,0.0224,0.294,-0.279,0.206,407,0.2457,0.091,1.137,0.375,407,0.2
exposure,"{""risk.max_positions"": 5, ""risk.risk_per_trade"": 0.02, ""risk",IS,"{""risk.max_positions"": 5, ""risk.max_weight"": 0.15, ""risk.risk_per_trade"": 0.02}",0.282,0.0193,0.295,-0.2356,0.175,407,0.2457,0.091,1.148,0.3073,407,0.2
exposure,"{""risk.max_positions"": 5, ""risk.risk_per_trade"": 0.02, ""risk",IS,"{""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02}",0.7149,0.0424,0.424,-0.3256,0.443,376,0.2527,0.092,1.203,0.4471,376,0.2
exposure,"{""risk.max_positions"": 8, ""risk.risk_per_trade"": 0.01, ""risk",IS,"{""risk.max_positions"": 8, ""risk.max_weight"": 0.15, ""risk.risk_per_trade"": 0.01}",0.1177,0.0086,0.148,-0.27,0.073,458,0.2358,0.038,1.056,0.3296,458,0.2
exposure,"{""risk.max_positions"": 8, ""risk.risk_per_trade"": 0.01, ""risk",IS,"{""risk.max_positions"": 8, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.01}",0.1966,0.0139,0.2,-0.2927,0.122,439,0.2346,0.047,1.081,0.374,439,0.1
exposure,"{""risk.max_positions"": 8, ""risk.risk_per_trade"": 0.02, ""risk",IS,"{""risk.max_positions"": 8, ""risk.max_weight"": 0.15, ""risk.risk_per_trade"": 0.02}",0.1177,0.0086,0.148,-0.27,0.073,458,0.2358,0.038,1.056,0.3296,458,0.2
exposure,"{""risk.max_positions"": 8, ""risk.risk_per_trade"": 0.02, ""risk",IS,"{""risk.max_positions"": 8, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02}",0.7149,0.0424,0.424,-0.3256,0.443,376,0.2527,0.092,1.203,0.4471,376,0.1
exposure,"{""risk.max_positions"": 12, ""risk.risk_per_trade"": 0.01, ""ris",IS,"{""risk.max_positions"": 12, ""risk.max_weight"": 0.15, ""risk.risk_per_trade"": 0.01}",0.1121,0.0082,0.143,-0.2737,0.069,460,0.2348,0.038,1.053,0.3285,460,0.2
