timeframe,require_above_vwap,momentum_mode,momentum_lookback,momentum_min_gain_atr,hod_dist_atr,hod_day_gain_atr,relvol_min,pullback_def,min_pullback_bars,max_pullback_bars,pullback_hold_ema,market_filter,rsi_filter,rsi_min,rsi_max,macd_filter,macd_rising,stop_mode,stop_atr_mult,stop_pct,stop_cap_pct,target_mode,target_rr,target_pct,trail_mode,trail_atr_mult,trail_pct,trail_activate_rr,entry_start_min,entry_end_min,eod_exit_min,train_ret,train_pf,train_n,val_ret,val_pf,val_n,robust
30m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,2,True,True,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,3.0,1.0,none,1.5,0.3,0.5,575,930,955,11.16712883791915,1.9125987079665805,40,-2.4514477178791405,0.5559820777917227,12,False
30m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,2,True,True,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,3.0,1.0,none,1.5,0.3,1.0,575,930,955,11.16712883791915,1.9125987079665805,40,-2.4514477178791405,0.5559820777917227,12,False
30m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,2,True,True,False,50.0,80.0,False,False,atr,1.0,0.5,1.0,rr,3.0,1.0,none,1.5,0.3,0.5,575,930,955,11.16712883791915,1.9125987079665805,40,-2.4514477178791405,0.5559820777917227,12,False
30m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,2,True,True,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,3.0,1.0,none,1.5,0.5,0.5,575,930,955,11.16712883791915,1.9125987079665805,40,-2.4514477178791405,0.5559820777917227,12,False
30m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,2,True,True,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,3.0,1.0,none,1.5,0.5,1.0,575,930,955,11.16712883791915,1.9125987079665805,40,-2.4514477178791405,0.5559820777917227,12,False
30m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,2,True,True,False,50.0,80.0,False,False,atr,1.0,0.5,1.0,rr,3.0,1.0,none,1.5,0.3,1.0,575,930,955,11.16712883791915,1.9125987079665805,40,-2.4514477178791405,0.5559820777917227,12,False
30m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,2,True,True,False,50.0,80.0,False,False,atr,1.0,0.5,1.0,rr,3.0,1.0,none,1.5,0.5,0.5,575,930,955,11.16712883791915,1.9125987079665805,40,-2.4514477178791405,0.5559820777917227,12,False
30m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,2,True,True,False,50.0,80.0,False,False,atr,1.0,0.5,1.0,rr,3.0,1.0,none,1.5,0.5,1.0,575,930,955,11.16712883791915,1.9125987079665805,40,-2.4514477178791405,0.5559820777917227,12,False
15m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,True,False,False,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,8.394928743179374,1.3621207137024471,49,-5.837823387157604,0.22783474973049744,10,False
15m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,True,False,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,8.394928743179374,1.3621207137024471,49,-5.837823387157604,0.22783474973049744,10,False
15m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,2,True,False,False,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,6.147601347433107,1.3491328705597423,44,-4.824686408583478,0.28079676047979846,9,False
15m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,2,True,False,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,6.147601347433107,1.3491328705597423,44,-4.824686408583478,0.28079676047979846,9,False
15m,True,either,4,1.5,1.0,2.0,1.3,lower_high,1,2,False,True,False,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,8.782481493496718,1.655916145412633,38,-4.633478598559037,0.6631210342416232,20,False
15m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,2,False,False,False,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,6.958332661889521,1.3552295986226623,46,-5.814509669934209,0.20553307589423586,10,False
15m,True,either,4,1.5,1.0,2.0,1.3,lower_high,1,2,False,True,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,7.6296534493608625,1.5409932834783304,39,-2.9862215869773445,0.7965775440942784,21,False
15m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,True,False,True,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,6.2405019513930515,1.3429881005496007,43,-5.837823387157604,0.22783474973049744,10,False
