,equity
2026-07-17 00:00:00-04:00,99058.16006093031
2026-07-20 00:00:00-04:00,97435.64733377297
2026-07-21 00:00:00-04:00,99261.55900554729
2026-07-22 00:00:00-04:00,97683.60877241757
2026-07-24 00:00:00-04:00,94325.96703442585
2026-07-27 00:00:00-04:00,96455.36816203338
2026-07-28 00:00:00-04:00,95036.65691674754
2026-07-29 00:00:00-04:00,98162.1297130123
2026-07-30 00:00:00-04:00,97832.33782379824
2026-07-31 00:00:00-04:00,99952.32622787643
2026-08-03 00:00:00-04:00,102806.9240089997
2026-08-04 00:00:00-04:00,102234.63371841895
2026-08-05 00:00:00-04:00,103209.37577480276
2026-08-06 00:00:00-04:00,98394.57452753009
2026-08-07 00:00:00-04:00,104210.74905243792
