symbol,entry_time,exit_time,entry,exit,ret_pct,bars_held,reason,risk_pct,taken
VRT,2026-07-17 11:58:00-04:00,2026-07-17 12:01:00-04:00,294.57,293.8,-0.3213979720887287,3,stop,0.2613979720887287,True
FCX,2026-07-17 12:47:00-04:00,2026-07-17 13:17:00-04:00,58.96,59.2,0.3470626132418482,30,target,0.1356875377472827,True
MPWR,2026-07-17 15:30:00-04:00,2026-07-17 15:39:00-04:00,1314.13,1309.6701,-0.39938357870389124,9,stop,0.33938357870389124,True
LITE,2026-07-20 10:30:00-04:00,2026-07-20 10:32:00-04:00,800.7245,795.5001,-0.7124599765374806,2,stop,0.6524599765374807,True
TER,2026-07-21 12:08:00-04:00,2026-07-21 12:14:00-04:00,374.25,373.78,-0.18557961301716525,6,stop,0.12557961301716525,True
TMO,2026-07-21 12:18:00-04:00,2026-07-21 12:20:00-04:00,516.635,519.617,0.5171960998214301,2,target,0.1923986999404767,True
DHR,2026-07-21 13:20:00-04:00,2026-07-21 13:24:00-04:00,176.12,176.96,0.4169381771501013,4,target,0.15897939238336709,True
SMCI,2026-07-22 10:47:00-04:00,2026-07-22 10:55:00-04:00,31.74,31.4215,-1.0634658652446802,8,stop,1.0034658652446804,True
NOW,2026-07-24 10:22:00-04:00,2026-07-24 10:23:00-04:00,96.81,96.425,-0.45769185107683147,1,stop,0.3976918510768315,True
CMCSA,2026-07-24 11:18:00-04:00,2026-07-24 11:18:00-04:00,22.475,22.43,-0.26022077074422206,0,stop,0.20022077074422207,True
NOW,2026-07-24 12:29:00-04:00,2026-07-24 12:30:00-04:00,97.8057,97.71,-0.15784588471572542,1,stop,0.09784588471572542,True
NOW,2026-07-24 14:00:00-04:00,2026-07-24 14:03:00-04:00,97.81,97.63,-0.2440340011175884,3,stop,0.1840340011175884,True
CMCSA,2026-07-24 14:09:00-04:00,2026-07-24 14:10:00-04:00,22.3,22.25,-0.28421831655933155,1,stop,0.22421831655933155,True
VZ,2026-07-24 14:09:00-04:00,2026-07-24 15:06:00-04:00,45.765,45.99,0.43164407358463147,57,target,0.1638813578615438,True
CMCSA,2026-07-24 15:19:00-04:00,2026-07-24 15:29:00-04:00,22.43,22.35,-0.41666279835164427,10,stop,0.3566627983516443,True
SHOP,2026-07-27 12:29:00-04:00,2026-07-27 12:36:00-04:00,124.655,125.36,0.505557281510627,7,target,0.18851909383687565,True
CVNA,2026-07-27 14:43:00-04:00,2026-07-27 15:04:00-04:00,63.815,63.7,-0.24021032696570202,21,stop,0.18021032696570202,True
SHOP,2026-07-27 14:44:00-04:00,2026-07-27 15:10:00-04:00,124.91,125.78,0.6365117338523076,26,target,0.23217057795076923,True
BA,2026-07-28 11:37:00-04:00,2026-07-28 11:41:00-04:00,220.53,219.87,-0.3592787270946595,4,stop,0.2992787270946595,True
BA,2026-07-28 12:10:00-04:00,2026-07-28 12:13:00-04:00,221.98,221.6001,-0.23113627938363102,3,stop,0.171136279383631,True
FLEX,2026-07-29 10:14:00-04:00,2026-07-29 10:14:00-04:00,107.34,106.96,-0.4140158411303792,0,stop,0.3540158411303792,True
FLEX,2026-07-29 14:43:00-04:00,2026-07-29 15:01:00-04:00,104.7999,106.9593,2.000478445046334,18,target,0.6868261483487781,True
MSFT,2026-07-30 10:30:00-04:00,2026-07-30 10:58:00-04:00,450.3,446.99,-0.7950673955387347,28,stop,0.7350673955387347,True
MSFT,2026-07-30 12:06:00-04:00,2026-07-30 12:10:00-04:00,452.29,454.33,0.3910404810705379,4,target,0.15034682702351262,True
MSFT,2026-07-30 13:30:00-04:00,2026-07-30 13:35:00-04:00,456.11,456.9801,0.13075630486222722,5,target,0.06358543495407575,True
AMZN,2026-07-31 11:53:00-04:00,2026-07-31 12:16:00-04:00,268.68,271.1701,0.8667843174294455,23,target,0.30892810580981517,True
BA,2026-08-03 12:34:00-04:00,2026-08-03 13:14:00-04:00,227.83,229.48,0.6642426639216262,40,target,0.24141422130720874,True
MSFT,2026-08-03 13:21:00-04:00,2026-08-03 13:40:00-04:00,489.3,488.71,-0.18058191578072783,19,stop,0.12058191578072784,True
BA,2026-08-03 13:35:00-04:00,2026-08-03 14:29:00-04:00,230.12,231.575,0.5722740352045568,54,target,0.21075801173485226,True
BA,2026-08-03 14:38:00-04:00,2026-08-03 14:45:00-04:00,232.11,232.8,0.23728151456502705,7,target,0.09909383818834235,True
MSFT,2026-08-03 15:26:00-04:00,2026-08-03 15:26:00-04:00,490.02,489.55,-0.15591694168898065,0,stop,0.09591694168898066,True
PLTR,2026-08-04 13:50:00-04:00,2026-08-04 13:50:00-04:00,164.08,163.8131,-0.22266604943093432,0,stop,0.16266604943093432,True
AMGN,2026-08-05 11:53:00-04:00,2026-08-05 12:07:00-04:00,407.23,409.69,0.5440722371957535,14,target,0.20135741239858448,True
CVS,2026-08-05 13:55:00-04:00,2026-08-05 13:55:00-04:00,99.49,99.39,-0.16051445138254533,0,stop,0.10051445138254532,True
WDC,2026-08-06 10:11:00-04:00,2026-08-06 10:15:00-04:00,462.01,459.0002,-0.7114593036744294,4,stop,0.6514593036744295,True
