symbol,entry_date,year,r,pnl,win,reason,hold,n_contractions,final_depth,first_depth,tighten_ratio,vdu_ratio,base_len_days,pivot_vs_top,wait_days,regime_on
A,2016-08-17,2016,-1.028782487753633,-8669.042831123279,False,stop,1,4,0.02989,0.10069,0.2968517231105373,0.8118,32,0.03485338041542585,6,True
AAP,2015-08-11,2015,-0.0324360683526038,-301.0400803243138,False,stop,9,3,0.01972,0.04317,0.4567987028028724,0.4983,19,0.02869887984726538,12,True
AAPL,2015-04-28,2015,-1.015671500922751,-21778.51012606787,False,stop,2,6,0.03197,0.08835,0.36185625353706846,0.6802,78,0.12466201677655508,4,True
AB,2013-02-13,2013,0.3391782951873456,3772.260718121018,True,trail_ma,34,5,0.02913,0.09321,0.3125201158673962,0.7146,69,0.19131524528735633,4,True
AB,2015-04-30,2015,-1.0368417940614076,-11215.433525993196,False,stop,5,5,0.02844,0.10097,0.28166782212538377,0.6905,65,0.2220476260361255,3,True
AB,2018-05-16,2018,0.8029512781298872,3700.681165557737,True,trail_ma,55,4,0.0442,0.13,0.34,0.8353,63,-0.00020174449652876625,12,True
ABEV,2016-10-21,2016,-0.9175472238856788,-12103.617638596868,False,trail_ma,6,4,0.03589,0.07595,0.47254772876892687,0.7843,44,-0.030063294417566055,3,True
ABG,2019-12-12,2019,-0.0176094948536054,-499.6783012333417,False,stop,7,3,0.02451,0.15126,0.16203887346291154,0.7411,18,0.03177585001544592,19,True
ABM,2016-09-09,2016,-0.7430593959477888,-14013.157276598857,False,trail_ma,23,5,0.01618,0.04703,0.34403572187965126,0.8253,53,0.017301806041001955,10,True
ABNB,2023-07-11,2023,0.542015067333703,16643.102395922506,True,trail_ma,24,3,0.04998,0.19704,0.25365408038976855,0.6706,35,0.002326207950922088,7,True
ABR,2005-10-10,2005,-1.0307900550492417,-613.3291169705197,False,stop,1,4,0.03442,0.14487,0.2375923241526886,0.7875,39,-0.049239411817400436,8,True
ABR,2021-08-11,2021,-1.0218789732427491,-41520.93538016486,False,stop,6,4,0.04895,0.11185,0.4376396960214573,0.8502,42,-0.04617750086100558,2,True
ABT,2007-03-01,2007,0.8673831802320386,1675.8561504285483,True,trail_ma,60,3,0.02068,0.04345,0.4759493670886076,0.8248,19,-0.012442412240228684,6,True
ACAD,2023-07-13,2023,0.6427994271770177,42067.10947075714,True,trail_ma,34,3,0.04748,0.14171,0.3350504551548938,0.8839,29,-0.04569894363360161,3,True
ACGL,2006-04-26,2006,-0.4275830757478788,-1440.18358606979,False,trail_ma,14,3,0.0299,0.06052,0.4940515532055519,0.7828,41,0.03342370476671941,19,True
ACHC,2013-10-29,2013,5.971548146836962,1188.612451115548,True,target,54,4,0.05343,0.1357,0.39373618275607963,0.6783,54,0.11176805094425024,34,True
ACHC,2015-03-02,2015,2.505730333690249,33312.68979353206,True,trail_ma,42,3,0.03616,0.10226,0.35360844905143746,0.9689,20,0.03198706774520099,2,True
