n_trades,win_rate,profit_factor,expectancy_pct,avg_win_pct,avg_loss_pct,total_return_pct,ann_return_pct,max_dd_pct,sharpe,avg_bars_held,score,timeframe,require_above_vwap,momentum_mode,momentum_lookback,momentum_min_gain_atr,hod_dist_atr,hod_day_gain_atr,relvol_min,pullback_def,min_pullback_bars,max_pullback_bars,pullback_hold_ema,max_retrace_atr,market_filter,in_play_filter,in_play_gain_adr,in_play_relvol,rsi_filter,rsi_min,rsi_max,macd_filter,macd_rising,stop_mode,stop_atr_mult,stop_pct,stop_cap_pct,target_mode,target_rr,target_pct,trail_mode,trail_atr_mult,trail_pct,trail_activate_rr,entry_start_min,entry_end_min,eod_exit_min,intrabar,sizing_mode,risk_per_trade_pct,pos_leverage_cap,max_concurrent
40,30.0,1.023626843545422,0.009263912208960908,1.3378552796116796,-0.5601323881064898,0.13011703060197277,1.9972604604048039,-6.497680821904956,-0.551062086154077,39.875,-8.118723380350506,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pct,1.0,0.5,1.5,rr,3.0,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
40,37.5,1.0068762602597259,0.002407328325456906,0.9399999999999993,-0.5601482746792685,-0.22702441030983955,-3.3975304526472683,-7.308697636878049,-0.357139081343746,22.225,-8.881373228748863,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pct,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
168,38.69047619047619,1.0070437941154617,0.0023709576805508712,0.876115636415142,-0.549021315307298,-0.8682527764220294,-11.954673618435397,-9.57056458055225,0.7360951700224135,34.44047619047619,-5.653535066698154,1m,True,surge,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pct,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,pessimistic,risk,1.0,2.0,4
45,42.22222222222222,1.049948775175443,0.013682783624991772,0.6812031385012345,-0.4741205526307241,-1.056323746304455,-14.9136657033484,-4.967576004799982,-0.7369021104435385,6.444444444444445,-6.040111748704446,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
134,31.34328358208955,0.9506770777651342,-0.012002087408925437,0.7380682383379688,-0.3544254969890293,-1.3400928333521023,-17.87899489341125,-13.670955260680659,-0.23776453975036305,18.544776119402986,-28.17557046369243,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,3.0,1.0,none,1.5,0.4,1.0,575,930,955,pessimistic,risk,1.0,2.0,4
45,40.0,1.0804833953205497,0.018786746604860582,0.6305265725246955,-0.38903980400836274,-1.6153716664386253,-21.93879513950131,-7.024830765974337,-1.136648497450471,5.044444444444444,-7.627787049425794,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,1.5,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
40,27.5,0.8563766038078703,-0.05215267326651476,1.130793966483469,-0.5008565711027155,-2.3462052710293113,-30.307063488364317,-10.826110332829703,-1.55097619237385,23.625,-32.75926043744416,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,3.0,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
45,33.333333333333336,1.026402534795765,0.007181028083727032,0.8374906596573278,-0.40797378770307346,-2.38874600870137,-30.767365352474428,-9.504562035922888,-1.552923893843592,6.5777777777777775,-9.641027026662814,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
46,50.0,0.9775709214353955,-0.004310341482025872,0.37573228718676743,-0.3843529701508192,-2.405292501721268,-30.945634268324707,-6.316546754674969,-2.030786362610668,3.347826086956522,-27.563565879058753,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,1.0,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
44,34.09090909090909,0.8456496255263942,-0.048273188563079564,0.7758007173416613,-0.47451831230691094,-3.483621799522074,-41.68139505445655,-7.479417917885958,-2.3706179882242866,16.272727272727273,-30.223330758465053,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
