,equity
2026-06-24 00:00:00-04:00,104259.25658312465
2026-06-29 00:00:00-04:00,102627.03232012526
2026-07-01 00:00:00-04:00,105604.69023083543
2026-07-02 00:00:00-04:00,102300.65809899718
2026-07-06 00:00:00-04:00,99104.24191786455
2026-07-09 00:00:00-04:00,102017.90663024977
2026-07-14 00:00:00-04:00,103287.81173230002
2026-07-15 00:00:00-04:00,102501.75357239011
2026-07-21 00:00:00-04:00,99276.10520735588
2026-07-22 00:00:00-04:00,105193.67508761965
2026-07-23 00:00:00-04:00,103508.04421095067
2026-07-27 00:00:00-04:00,100219.26503132771
2026-07-28 00:00:00-04:00,102665.63366351947
2026-07-30 00:00:00-04:00,103932.91690545248
2026-08-03 00:00:00-04:00,101362.37383900367
2026-08-04 00:00:00-04:00,99722.96872940271
2026-08-07 00:00:00-04:00,102590.74082743503
2026-08-10 00:00:00-04:00,101203.7957416164
