symbol,entry_time,exit_time,entry,exit,ret_pct,bars_held,reason,risk_pct,taken
SHOP,2026-06-24 10:05:00-04:00,2026-06-24 14:25:00-04:00,110.8,114.08,2.900293741933018,52,target,1.480146870966509,True
AFRM,2026-06-24 10:05:00-04:00,2026-06-24 11:15:00-04:00,77.37,79.6911,2.9399999999999977,14,target,1.499999999999999,True
UBER,2026-06-24 11:15:00-04:00,2026-06-24 13:05:00-04:00,74.75,74.14,-0.8760486358840333,22,stop,0.8160486358840332,True
RIVN,2026-06-29 11:00:00-04:00,2026-06-29 11:15:00-04:00,16.75,16.52,-1.4331288812865788,3,stop,1.3731288812865787,True
PLTR,2026-07-01 10:15:00-04:00,2026-07-01 11:05:00-04:00,125.395,127.685,1.76622908488182,10,target,0.9131145424409101,True
RIVN,2026-07-02 10:00:00-04:00,2026-07-02 10:40:00-04:00,19.435,19.1435,-1.5600000000000085,8,stop,1.5000000000000087,True
CRWD,2026-07-02 10:10:00-04:00,2026-07-02 10:10:00-04:00,198.5,196.5901,-1.0221701682924225,0,stop,0.9621701682924224,True
AMD,2026-07-06 10:15:00-04:00,2026-07-06 11:15:00-04:00,571.01,562.4448,-1.5600000000000032,12,stop,1.5000000000000029,True
RIVN,2026-07-06 11:25:00-04:00,2026-07-06 12:00:00-04:00,19.85,19.65,-1.0675582047273176,7,stop,1.0075582047273177,True
MARA,2026-07-09 10:10:00-04:00,2026-07-09 10:25:00-04:00,13.395,13.7969,2.9399999999999893,3,target,1.4999999999999947,True
PLTR,2026-07-14 10:05:00-04:00,2026-07-14 10:50:00-04:00,131.01,133.37,1.7413947975106585,9,target,0.9006973987553293,True
CRWD,2026-07-14 10:10:00-04:00,2026-07-14 10:15:00-04:00,204.0,202.31,-0.8884304526658091,1,stop,0.8284304526658091,True
ROKU,2026-07-15 10:15:00-04:00,2026-07-15 10:40:00-04:00,143.2,142.85,-0.30441468232368296,5,stop,0.24441468232368296,True
MSTR,2026-07-21 10:05:00-04:00,2026-07-21 10:20:00-04:00,103.7909,102.75,-1.0628787891520342,3,stop,1.002878789152034,True
COIN,2026-07-21 10:15:00-04:00,2026-07-21 11:00:00-04:00,179.0573,177.1,-1.1531146684272515,9,stop,1.0931146684272517,True
RIOT,2026-07-22 10:10:00-04:00,2026-07-22 11:25:00-04:00,22.58,23.2574,2.94,15,target,1.5,True
SMCI,2026-07-22 10:20:00-04:00,2026-07-22 12:15:00-04:00,31.32,32.18,2.685848370014818,23,target,1.3729241850074032,True
SMCI,2026-07-23 10:20:00-04:00,2026-07-23 10:40:00-04:00,31.86,31.58,-0.938845654517605,4,stop,0.878845654517605,True
IONQ,2026-07-27 10:05:00-04:00,2026-07-27 10:10:00-04:00,36.98,36.5,-1.358006715319387,1,stop,1.2980067153193873,True
SHOP,2026-07-27 10:15:00-04:00,2026-07-27 10:45:00-04:00,123.01,122.28,-0.6534469429092484,6,stop,0.5934469429092484,True
SHOP,2026-07-28 10:35:00-04:00,2026-07-28 11:15:00-04:00,130.7375,132.0925,0.9764065347823286,8,target,0.5182032673911644,True
AMZN,2026-07-30 10:10:00-04:00,2026-07-30 15:55:00-04:00,237.21,235.86,-0.6291167524230573,69,stop,0.5691167524230574,True
ORCL,2026-07-30 10:15:00-04:00,2026-07-30 10:20:00-04:00,126.27,127.806,1.156442679400987,1,target,0.6082213397004935,True
META,2026-08-03 10:05:00-04:00,2026-08-03 10:30:00-04:00,591.01,585.572,-0.9801248346316022,5,stop,0.9201248346316021,True
IONQ,2026-08-03 10:05:00-04:00,2026-08-03 15:55:00-04:00,39.1599,38.835,-0.8896738673595724,70,eod,1.500000000000004,True
AVGO,2026-08-04 10:00:00-04:00,2026-08-04 10:15:00-04:00,411.45,408.295,-0.8268027091758933,3,stop,0.7668027091758932,True
PLTR,2026-08-07 10:15:00-04:00,2026-08-07 10:25:00-04:00,168.4299,170.8697,1.3885615055139877,2,target,0.7242807527569939,True
CRWD,2026-08-10 10:20:00-04:00,2026-08-10 10:30:00-04:00,224.64,223.56,-0.5407681335108285,2,stop,0.4807681335108286,True
